,country,name,full_name,symbol,currency,class,market
936,world,BNY Mellon Latin Telecom ADR,BNY Mellon Latin Telecom ADR,BKLTL,USD,primary_sectors,global_indices
937,world,BNY Mellon Consumer Services Classic ADR,BNY Mellon Consumer Services Classic ADR,BKCSC,USD,primary_sectors,global_indices
938,world,DJ Americas Oil & Gas,Dow Jones Americas Oil & Gas,A1ENE,USD,primary_sectors,global_indices
939,world,STOXX 600 Optimised Banks EUR NR,STOXX 600 Optimised Banks EUR NR,SXO7R,EUR,primary_sectors,global_indices
940,world,STOXX Telecom EUR Price,STOXX Telecom EUR Price,SXKE,EUR,primary_sectors,global_indices
941,world,STOXX Insurance EUR Price,STOXX Insurance EUR Price,SXIE,EUR,primary_sectors,global_indices
942,world,STOXX 600 Health Care Short EUR GR,STOXX 600 Health Care Short EUR GR,SXDRS,EUR,primary_sectors,global_indices
943,world,STOXX Banks EUR Price,STOXX Banks EUR Price,SX7E,EUR,primary_sectors,global_indices
944,world,MSCI World Utilities Net USD,MSCI World Utilities Net USD,MIWO0UT00NUS,USD,primary_sectors,global_indices
945,world,MSCI World Telecom Srvcs Net USD,MSCI World Telecom Srvcs Net USD,MIWO0TC00NUS,USD,primary_sectors,global_indices
946,world,MSCI World RE Price USD,MSCI World RE Price USD,MIWO0RE00PUS,USD,primary_sectors,global_indices
947,world,DJ Americas Financials,Dow Jones Americas Financials,A1FIN,USD,primary_sectors,global_indices
948,world,MSCI World Info Tech Net USD,MSCI World Info Tech Net USD,MIWO0IT00NUS,USD,primary_sectors,global_indices
949,world,MSCI World Health Care Net USD,MSCI World Health Care Net USD,MIWO0HC00NUS,USD,primary_sectors,global_indices
950,world,MSCI Intl World Financials Net USD,MSCI Intl World Financials Net USD,MIWO0FN00NUS,USD,primary_sectors,global_indices
951,world,MSCI World Energy Sector Net USD,MSCI World Energy Sector Net USD,MIWO0EN00NUS,USD,primary_sectors,global_indices
952,world,MSCI EM Utilities Sector Net USD,MSCI EM Utilities Sector Net USD,MIEF0UT00NUS,USD,primary_sectors,global_indices
953,world,MSCI EM Telecom Srvcs Net USD,MSCI EM Telecom Srvcs Net USD,MIEF0TC00NUS,USD,primary_sectors,global_indices
954,world,MSCI EM Information Tech Net USD,MSCI EM Information Tech Net USD,MIEF0IT00NUS,USD,primary_sectors,global_indices
955,world,MSCI EM Industrials Net USD,MSCI EM Industrials Net USD,MIEF0IN00NUS,USD,primary_sectors,global_indices
956,world,MSCI EM Health Care Net USD,MSCI EM Health Care Net USD,MIEF0HC00NUS,USD,primary_sectors,global_indices
957,world,MSCI EM Financials Net USD,MSCI EM Financials Net USD,MIEF0FN00NUS,USD,primary_sectors,global_indices
958,world,MSCI World Industrials Net USD,MSCI World Industrials Net USD,MIWO0IN00NUS,USD,primary_sectors,global_indices
959,world,MSCI World Industrials 10 40,MSCI World Industrials 10 40,MIWO0IN0TPUS,USD,primary_sectors,global_indices
960,world,DJ Americas Health Care,Dow Jones Americas Health Care,A1HCR,USD,primary_sectors,global_indices
961,world,DJ Americas Technology,Dow Jones Americas Technology,A1TEC,USD,primary_sectors,global_indices
962,world,DJ Emerg MKT Utilities 30 EUR,Dow Jones Emerging Markets Utilities Titans 30 EUR,DJEUTE,EUR,primary_sectors,global_indices
963,world,DJ Emerg MKT Utilities Titans 30,Dow Jones Emerging Markets Utilities Titans 30,DJEUT,USD,primary_sectors,global_indices
964,world,DJ Emerg Markets Tech Titans 30 EUR,Dow Jones Emerging Markets Technology Titans 30 EUR,DJETXE,EUR,primary_sectors,global_indices
965,world,DJ Emerg Markets Tech Titans 30,Dow Jones Emerging Markets Technology Titans 30,DJETX,USD,primary_sectors,global_indices
966,world,DJ Emerg MKT Telecom Titans 30 EUR,Dow Jones Emerging Markets Telecommunications Titans 30 EUR,DJETSE,EUR,primary_sectors,global_indices
967,world,DJ Emerg Markets Telecom Titans 30,Dow Jones Emerging Markets Telecommunications Titans 30,DJETS,USD,primary_sectors,global_indices
968,world,DJ Emerg MKT Health Care 30 EUR,Dow Jones Emerging Markets Health Care Titans 30 EUR,DJEHKE,EUR,primary_sectors,global_indices
